"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8465","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 20:28:17 UTC 2026","broken","Tue Mar 31 20:28:25 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","15476","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 20:27:20 UTC 2026","broken","Tue Mar 31 20:27:35 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","8430","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 20:28:08 UTC 2026","broken","Tue Mar 31 20:28:17 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","1452","userSeesTryDemoAccountBtn()","","Tue Mar 31 20:28:25 UTC 2026","failed","Tue Mar 31 20:28:27 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","1731","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 20:28:30 UTC 2026","failed","Tue Mar 31 20:28:31 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","1509","userSeesWebPlatformMenuItem()","","Tue Mar 31 20:28:27 UTC 2026","failed","Tue Mar 31 20:28:28 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","1504","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 20:28:01 UTC 2026","failed","Tue Mar 31 20:28:02 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","16629","userCanLoginFromHomePage()","","Tue Mar 31 20:27:35 UTC 2026","broken","Tue Mar 31 20:27:52 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","1437","userCanOpenTradingPage()","","Tue Mar 31 20:28:02 UTC 2026","passed","Tue Mar 31 20:28:04 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","2323","validUserCanLoginTest()","","Tue Mar 31 20:27:18 UTC 2026","failed","Tue Mar 31 20:27:20 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","1426","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 20:28:07 UTC 2026","passed","Tue Mar 31 20:28:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1462","userSeesWaysToTradeBanner()","","Tue Mar 31 20:28:04 UTC 2026","passed","Tue Mar 31 20:28:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","8551","tryDemoBtnWorks()","","Tue Mar 31 20:27:52 UTC 2026","broken","Tue Mar 31 20:28:01 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","1780","userSeesMobileAppMenuItem()","","Tue Mar 31 20:28:05 UTC 2026","failed","Tue Mar 31 20:28:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","1463","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 20:28:28 UTC 2026","failed","Tue Mar 31 20:28:30 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
